,title,paragraph,label
40,"us could do better on green issues, oecd concludes","the administration of president george w. bush has shown a reluctance to co-operate on climate change under the auspices of the un, and has cast doubt on the scientific research underpinning international action on climate change. ",unfavorable
118,change is the catalyst for gamco chief,"apart from health and ageing, mr gabelli sees the climate change sector as being ripe for investment.",favorable
707,german and spanish inflation stays high to increase pressure on ecb,"german energy prices were boosted by the impact of higher gas prices on annual utility bills and the increase in a carbon tax by â‚¬5 to â‚¬30 a tonne at the start of this year, which more than offset a cut in a green energy tax on electricity. core inflation in germany, stripping out more volatile energy and food prices, fell from 3.7 per cent to 3 per cent.",unfavorable
328,the risks of indecision,"if the department of energy and climate change are incapable of doing what is necessary, the decisions should be taken out of their hands. continuity of energy supply is too important to the workings of the whole economy.",unfavorable
568,high ambitions for emission reduction with carbon capture and storage falter,"the move shocked many in the industry, not least because of what senior ministers had said about the technology in the past. david cameron warned in 2007 before becoming prime minister that without ccs the uk might not meet its targets for reducing carbon emissions.",unfavorable
634,the uk needs a more realistic energy strategy,"the review should consider the falling price of renewables, prioritise cost-effective ways of reducing emissions and challenge the treasury to provide better incentives and make more government funding available. to be confident that the street lamps will remain lit in the decades to come, the government needs a more flexible, affordable and realistic energy strategy.",unfavorable
698,the shale patch canâ€™t fill jobs fast enough,substituting one expensive fossil fuel for another fossil fuel that emits far more co2 when combusted isnâ€™t a great advert for an energy transition designed to reduce emissions. ,unfavorable
404,a high price for ignoring the risks of catastrophe,"the judgment from academics on their existing models is damning. so-called integrated assessment models of climate change come â€œclose to assuming directly that the impacts and costs will be modest, and close to excluding the possibility of catastrophic outcomesâ€, writes nicholas stern. according to robert pindyck of the massachusetts institute of technology: â€œthe bottom line here is that the damage functions in most iams are completely made up, with no theoretical or empirical foundation.â€",favorable
567,green bond market faces growing pains,"the market is swelling as the push by governments to lower global carbon emissions, underlined by decemberâ€™s paris climate change accord, provides fresh impetus for trillions of dollars of investment into cleaner energy. ",unfavorable
426,us should not neglect its global leadership role,"first, multilateral rules and institutions are more inclusive than regional counterparts. in this highly interconnected world, any serious global policy making needs to be multilateral. second, contemporary global challenges, ranging from climate change to non-tariff barriers, tend to necessitate not only reciprocal bargains but also soul-searching discursive engagement. the us remains one of the very few countries, arguably the only one, that is capable of assuming this multilateralist leadership. a critical precondition for the usâ€™s new leadership is to restore its â€œspirit of magnanimityâ€. the us will have to absorb short-term costs to keep its long-term goals aligned with global agendas.",favorable
400,climate policy robs the worldâ€™s poor of their hopes,"or consider pakistan, where energy shortages in a rapidly growing nation of 180m have led to civil unrest â€“ as well as rampant destruction of forests, mostly to provide firewood for cooking and heating. western development agencies have refused to finance a project to use pakistanâ€™s thar coal deposits for low-carbon natural gas production and electricity generation because of concerns over carbon emissions. half a world away, germany is building 10 new coal plants over the next two years.",unfavorable
546,states warn us climate plan is illegal,"the letter highlights the difficulties the us administration will face in the paris negotiations because of the general opposition to action on climate change among the republican party, which controls congress and over half the state governments.",unfavorable
700,fighting climate change is an economic opportunity for iraq,confronting climate change must be an urgent national priority â€” but it is also an opportunity to diversify iraqâ€™s economy; support renewable and clean energy; participate in carbon markets; increase the resilience of environmentally and economically vulnerable areas; and provide better and more sustainable living conditions for our citizens.,favorable
256,battle lines,"with support from living with environmental change, a partnership between government departments and funding agencies, she has run a series of focus groups exploring peopleâ€™s views on media coverage of science. she endorses projects such as oldweather.org, an attempt to engage the public directly in analysing historical sea temperature data. on secondment to the department of energy and climate change, she has also been posting videos on youtube and engaging with â€œscepticsâ€ via blogs.",favorable
38,vision for meeting energy needs beyond oil,"no one should underestimate the energy challenge. with continued economic growth, the worldâ€™s energy needs could increase by half within 25 years. unchecked, this will result in significantly higher carbon emissions. many scientists agree that emissions from human activities are changing our climate and call for urgent action. the worldâ€™s energy needs must be met while cutting carbon dioxide emissions.",favorable
278,tanker drivers rule out easter strike,"â€œthe meeting will focus on what the companies can do to help with contingency planning in the event that a strike is called by unite,â€™â€™ a spokeswoman from the department of energy and climate change said. ",favorable
190,no slowing climate change innovation,"â€œregardless of what happens in copenhagen, climate change will have an impact on investments.â€ ",favorable
329,sse warns of ukâ€™s â€˜lights going outâ€™,"a key reason for the lack of fresh investment in gas plants is the low â€œspark spreadâ€, the difference between the cost of gas and the price of the electricity generated from it. tougher rules on carbon emissions have undermined the economic argument for gas.",unfavorable
637,global miners count the cost of their failings,glencore declined to comment on the share sale by sarasin but said it supported the development of green technology and recognised global climate change science. it added that through its membership of icmm it would also work with peers to fully understand the events that led to the dam burst in brazil. ,favorable
7,greenpeace: tax gas guzzlers off the road,"despite a lot of rhetoric from government ministers, carbon emissions have not gone down under labour.",unfavorable
55,the best hope for energy security,"remember that this argument ignores the question of climate change. it asks whether the malthusians who argue that the world will soon run out of fossil fuels allow the malthusians who worry about the damage to the atmosphere to cheer up. the answer is an unambiguous no. it will be perfectly possible to run a fossil fuel economy for many decades at prices that are likely to be substantially lower than those of recent times. even if they remain at current levels, the world economy will almost certainly cope, as its recent performance suggests. the world can afford quite expensive energy. the big question is, instead, whether the environment on which our lives depend can cope with the results.",favorable
415,ukraine stand-off aids renewablesâ€™ case,"however, many countries had been hoping the same meeting would approve plans unveiled in january to extend the euâ€™s climate change targets from 2020 to 2030, a move that might have bolstered the push to expand renewable energy.",favorable
163,sarkozy calls for carbon tax on imports,the french president has in the past sparked accusations of protectionism after calling for european import tariffs on products from countries that do not abide by international targets on carbon emission reductions. ,unfavorable
221,energy: cooling ambitions,"while many of its neighbours have in recent decades slowed, or even ended, civilian programmes, france has remained a champion of the industry â€“ hoping to be rewarded with a revival in interest as governments worldwide grapple with the challenges of increasing energy demand, security of supply and the need to reduce carbon emissions. ",favorable
470,private investment dries up for uk wave energy projects,the woes of the sector have implications beyond scotland. success in tapping wave energy could make a substantial contribution to worldwide efforts to cut carbon emissions and lay the foundations for a large industry.,favorable
474,climate challenges for royal dutch shell,"to play a leading debate about sustainable energy, mr van beurden must demonstrate that his company really is contemplating a future where the risks of climate change are managed successfully.",unfavorable
454,growth and fighting global climate change not incompatible,"this means the view that climate change policies need to be cautiously pursued is distinctly â€œold fashionedâ€, said andrew steer, president of the world resources institute, one of eight research groups that produced the report.",favorable
31,the rise of the eco-city,"by 2010, the first phase should be complete, and an exhibition will be held to showcase the development. peter head, a director of arup involved in the project, thinks dongtan sends a message that chinaâ€™s government â€œis willing to find ways of overcoming the challenges of creating sustainable cities in the face of significant climate change, environmental pollution, water shortages and the need for the use of cleaner energyâ€. ",favorable
142,twin crises set early test for czech leadership,"he denounces â€œglobal warming alarmistsâ€, but the eu has already agreed on a programme to counter climate change. he opposes new regulation but there is none on the agenda. mr topolanek does have his work cut out, trying to forge a common european front on foreign policy while holding his own government together. he must also seek to harness the hyperactive interventions of his predecessor in the eu chair, nicolas sarkozy.",unfavorable
245,manufacturers fail to plan for â€˜greenâ€™ laws,"the eef manufacturersâ€™ association has warned of a series of â€œdangerousâ€ measures being enacted by the government to subject companies to more restrictive environmental laws, especially in relation to carbon emissions and energy use.",unfavorable
384,london headlines,"poland struggles to break coal dependency the country is resisting a move to expensive renewable energy, angering those who think it should not be hosting a climate change summit http://on.ft.com/17pzwyn ",unfavorable
599,"the rule of law: environment, white-collar crime and childrenâ€™s rights","with us president donald trump scrapping his advisory committee on climate change and pulling out of the 2015 paris agreement on curbing greenhouse gas emissions, campaigners are looking for other ways to encourage cleaner fuels and greener policies around the world.",unfavorable
87,business seeks clear policy on climate change,"a large majority said the best way to reduce carbon emissions would be through more regulation, followed by taxes and tax breaks to encourage better environmental practices. ",favorable
516,us business groups join forces to pledge action on climate change,"mr obama and john kerry, secretary of state, are among the leaders pressing hardest for a successful un global climate change agreement to be finalised by nearly 200 governments in paris in december.",favorable
424,congo to world: pay us $1bn to save our rainforests ... or else,"in a bold example of how poorer countries are seizing on climate change to persuade richer nations to fund a greener form of economic development, the impoverished drc says it hopes to get at least $1bn to protect its vast forests.",unfavorable
158,the environment: businesses are making green moves â€“ but why?,"the it department, he claims, accounts for about 2 per cent of carbon emissions at most companies, but technology can do much to tackle â€œthe other 98 per centâ€. that was the impetus behind sapâ€™s may 2009 acquisition of clear standards, a provider of software tools that enable companies to measure and manage carbon emissions, water consumption and energy use.",favorable
633,the week in energy: capturing carbon,"in addressing the threat of global warming, capturing and storing the carbon dioxide emissions from fossil fuel power plants is widely seen as a necessity. back in 2009, john ashton, then the uk foreign secretaryâ€™s special representative for climate change, argued: â€œthere is no credible climate strategy that doesnâ€™t include a strategy to get very quickly to the point where carbon capture and storage becomes the universal standard for all new coal and indeed all new gas-fired power generation.â€",favorable
585,shell sells canadian oil sands assets for $7.25bn,royal dutch shell has agreed to sell most of its canadian oil sands assets for $7.25bn in the latest sign of global energy groups backing away from some of the worldâ€™s highest-cost and most greenhouse gas-intensive sources of crude oil.,favorable
692,volvo and northvolt to team up on new battery gigafactory,"northvolt held particular appeal to volvo because of its use of renewable energy â€” predominantly hydroelectric power â€” for the plant it is building in northern sweden. their future joint gigafactory would also need access to green energy, possibly from finland and norway. ",favorable
166,alternating current,"falling demand during the recession has masked the scale of the challenge ahead. without a policy lead, britain risks increasing reliance on gas. but given falling gas production across europe (excepting norway) reliance on gas means reliance on russia. gas is often seen as â€œcleanâ€, but if it is allowed to crowd out renewables it will make sustained cuts in carbon emissions harder to achieve.",unfavorable
697,dÃ©jÃ  vu: massive storm leaves americans in the dark ,"â€œextreme weather events like ida show the value of investment in local transmission projects to replace ageing transmission infrastructure with stronger more resilient build-out,â€ said larry gasteiger, executive director of wires, a trade group advocating for spending on new long-distance transmission networks. ",favorable
184,ft energy source: the final word,"so i say let the sceptics speak. the fact that so many of the worldâ€™s leaders are now heading to copenhagen means that very few governments are listening to them. and my message to the sceptics would be simple. when you live in the developed world, itâ€™s a lot easier to be sceptical. but travel to africa and see the 300,000 deaths a year that are taking place as a direct result of climate change and you may find your point of view is changed.",favorable
28,action is needed on energy prices and emissions,"it should also review the role played by the climate change levy. longer-term, there must be questions as to whether emissions trading makes the levy redundant. in the meantime, it should take heed of evidence that climate change agreements that set business targets to either improve energy efficiency or reduce emissions in return for a discount on the levy are have proved far more effective in reducing emissions than the levy itself. it is also time for to develop a long-term energy strategy that looks seriously at what will deliver reductions in carbon emissions for the least cost, while also delivering a secure and reliable supply of energy. ",favorable
325,push to develop tidal energy,"however, greg barker, the energy and climate change minister, said backers of a plan to harness tidal power in the severn estuary had not provided enough information to justify government support.",unfavorable
48,this week in the uk,other committees look at the role of renewable energy in preventing climate change; foreign policy aspects of the war against terrorism; reducing carbon emissions in transport; and strategic export controls (all wednesday).,favorable
507,"greek talks collapse, philae awakes, neymar v marta","global energy the international energy agency publishes its 2015 special report on energy and climate change. it says wind, solar and other types of renewable power will overtake coal to become the world's top source of electricity in just 15 years if countries meet their pledges for a global climate change deal this year. meanwhile, oil-rich saudi arabia opens up its $560bn stock market to direct foreign investment. (ft)",favorable
544,ny probes exxonmobil over climate change risk claims,"the climate change inquiry could broaden to include other oil and energy companies, people familiar with the case said. for now, mr schneidermanâ€™s office alone is investigating the exxonmobil case but it could widen to include other state attorneys-general.",favorable
598,energy executives confident over renewables future,"the falling cost of renewable energy will increasingly allow wind and solar projects to make money without subsidies, say the top executives in europeâ€™s power industry.",favorable
641,a carbon tax is the nudge the world needs,"the other risk of a huge centrally planned response to climate change is that of a huge centrally planned response to anything: clumsy megaprojects chosen for their political or bureaucratic acceptability rather than because they deliver the biggest results for the lowest cost. a planned response to climate change isnâ€™t hopeless, because there are some obvious big wins â€” tightening rules on the energy efficiency of new buildings, and replacing coal-fired power with renewable alternatives. yet the best case for the green new deal is that even a clumsy response may still be better than none at all.",favorable
597,energy executives confident over renewables future,leading energy companies are becoming more confident that the renewable sector will be able to attract increased investment irrespective of government policies.,favorable
176,china farmers face climate woes,"north china was less exposed to the risks of climate change because local governments had already taken a lot of steps to limit the impact from persistent droughts, the report said. however, even under more moderate scenarios for climate change, losses to farmers in the north-east from the effects of drought could rise by 50 per cent. ",unfavorable
225,accord in danger of disintegration,"michael grubb, chairman of climate strategies, a research group based at the university of cambridge, says: â€œit is vital that the international community continues to discuss collective action on climate change through the un. however, if the us cannot move forward for now, the rest of the world should be looking at ways in which co-operation can be enhanced not weakened.",unfavorable
566,global coal demand saw record fall last year â€” bp,sluggish demand growth together with the shift in the energy mix away from coal meant that the growth in carbon emissions from energy consumption stalled in 2015. this encouraging development represented the slowest growth in emissions in nearly a quarter of a century (aside from immediately following the financial crisis).,favorable
701,franceâ€™s nuclear drive offers chance of redemption for edf ,"however, ambitious european climate goals, which hinge on pivoting to forms of energy that emit less carbon than fossil fuels, have put the spotlight on nuclear again and handed france an opportunity to assert its dominance in the field. ",favorable
616,major dilemma: oil companies hedge bets on low-carbon future,"climate activists say these companies have a responsibility to lead the way. â€œglobal oil majors have become more powerful than many governments,â€ said mark van baal of follow this. â€œthe only way to stop climate change is to make sure they commit to paris and start investing seriously in new business models.â€",favorable
405,obama orders tougher fuel standards for trucks,"the american petroleum institute, an energy lobby group, does not have a position on fuel standards, but it is critical of several obama administration regulations on climate change that it says are unnecessary.",favorable
549,paris climate deal will not be a legally binding treaty,"in his speech he had also pushed back against the argument that tackling climate change was bad for the economy, saying that â€œfour times as many americans are employed by renewable-energy companies today than are employed by the fossil-fuel industryâ€. ",unfavorable
532,indexers must warm to low carbon investing,the other glaring problem from the point of view of supporting the move to a low carbon economy is that reducing exposure to companies with high carbon emissions does not automatically translate into exposure to green technologies. this is currently a separate consideration that investors need to target specifically. ,favorable
541,mps push for diesel car scrappage scheme,the environment committee also called for vehicle tax policy â€” which is currently focused on carbon emissions â€” to be changed to account for other pollutants.,favorable
349,the comeback of old king coal,"these uncomfortable realities, rather than a naive belief in global harmony should shape public policy. carbon emissions are set to grow and there is no prospect of a managed decline as envisaged before the copenhagen conference in 2009. regret is not a sound basis for policy. we have to adjust to the world as it is.",unfavorable
675,chinaâ€™s carbon pledge revives hopes of a climate game change,"much rides on how china resolves a climate contradiction in its energy sector: it leads the world in producing and installing wind turbines and solar panels but relies on coal for nearly 60 per cent of power production, accounting for about half of its carbon dioxide emissions from fossil-fuels, according to the iea.",unfavorable
113,bush targets 2025 in move on emissions,"the bush administration has long resisted mandatory caps on carbon emissions, preferring to focus on voluntary measures and investment in green technology. but the white house this week said mr bush had not ruled out endorsing a â€œcap-and-tradeâ€ system to cut emissions before he left office next year.",favorable
86,eu summit to back research institute,"mr barroso has suggested that the institute work on research to counter climate change, among other areas.",favorable
473,climate challenges for royal dutch shell,"a further challenge for mr van beurden is that none of shellâ€™s model scenarios currently projects a world that avoids dangerous global warming of more than 2c, even though nearly 200 governments have just reaffirmed their commitment to this goal at the united nations climate change summit in lima, peru.",unfavorable
275,"delay eu carbon levy, says air industry","china, the us and other nations are concerned that the remit of europeâ€™s ets will require airlines to pay a charge related to carbon emissions even when flying outside european airspace.",unfavorable
485,better than business as usual to the tune of $5tn,"sir, martin wolf (â€œ the riches and perils of the fossil-fuel ageâ€, march 3) rightly calls for pricing carbon emissions. yet his kind summary of the rocky mountain instituteâ€™s us energy synthesis â€œreinventing fireâ€ didnâ€™t mention that the net present value of trebling efficiency and quintupling renewables (thus displacing all oil, coal, and nuclear energy by 2050 at historically reasonable speeds) would be $5tn more favourable than business-as-usual even if all externalities were worth zero. pricing carbon would further speed this profitable journey beyond fossil fuels â€” if and only if energy users can respond to price.",favorable
563,vattenfall offloads german lignite mines to czech consortium,"swedish energy group vattenfall is planning to offload its lossmaking east german lignite mines to a czech consortium, in a move aimed at cutting its carbon emissions and reducing its exposure to low european electricity and coal prices. ",favorable
528,shell leaves prince of wales climate change group amid concerns,"the move is a sign of how far oil companies have drifted away from some of the green groups that encouraged them in the last decade for their policies on energy use and climate change. many environmental campaigners praised bp for its â€œbeyond petroleumâ€ campaign for example, which aimed to promote renewables.",favorable
416,time to change the political climate,"in particular the economic cost benefit analysis of climate change and its mitigation needs improvement. the most recent report gave a reassuringly low figure for the cost of an ambitious fight against global warming: it would shave between 0.04 and 0.14 percentage points off annualised economic growth, which is assumed to be 1.6 to 3 per cent under a â€œbusiness as usualâ€ scenario. but there has been no meaningful attempt to compare this with the costs (or benefits) of climate change itself.",favorable
491,divestment refuseniks may yet save the planet,the campaign calls for pension funds and endowments to sell holdings in the 200 companies with the most potential carbon emissions stored in coal or oil reserves.,favorable
72,australia warming faster than world,"â€œwithout meaningful and urgent action on climate change, category-five cyclones are projected to become more frequent,â€ the australian conservation foundation said yesterday. â€œin 2007, we need the australian government to respond to science by adopting a plan that dramatically cuts our greenhouse pollution.â€",unfavorable
665,letter: transition to the global non-carbon energy system is a century-long project,"supported by well designed economic incentives such as carbon-pricing schemes (including carbon tariffs on imports) complemented by â€œsmartâ€ regulations that do not stifle economic growth, along with continued global progress with the â€œelectrification of lifeâ€ fuelled by renewable energy feedstocks, the transition to a global non-carbon energy system is achievable by the end of this century.",favorable
448,fairer fixes for the public purse lost in a chancellorâ€™s drawer,"between 2003 to 2007, when i was head of the government economic service, i led the writing of three reports. the one on climate change attracted some attention, as did the one for the commission for africa. but the one that tackled reform of the uk tax system was promptly buried in the chancellorâ€™s drawer. ",unfavorable
206,abolition of hips could go further,he also says that the retention of energy performance certificates is an environmentally positive move it is more about â€œcomplying with eu directives on reducing carbon emissions than helping home buyers and sellersâ€ and that â€œthe new government should now consider replacing hips with a simple pre-sales pack to include local searches and a draft contract for sale only.â€,favorable
380,wasting energy on a successor to kyoto,"better to break a promise than to let it break you. that is apparently the view of the japanese government, which last week said the countryâ€™s carbon emissions in 2020 would be 3 per cent higher than in 1990, not 25 per cent lower as previously pledged. the reversal, which came as the latest round of un climate talks began in warsaw, was widely condemned. yet japan has merely conceded the inevitable. the country had no plan for delivering its promised reductions â€“ even before the fukushima disaster closed its nuclear power stations, forcing it to burn more gas.",unfavorable
37,pre-budget report: business panel,"the problem is how principles are turned into practice. we are being penalised more than competitors whose governments have interpreted the legislation in a different way. environmental taxation is another thing we are watching. we have already seen a number of â€œstealth taxesâ€ â€“ the aggregates tax, landfill tax, climate change levy.",unfavorable
709,nestlÃ©â€™s move to clean up the chocolate trade,"many leading economists see carbon taxes as a crucial part of the answer to fighting climate change. to make them palatable to voters, some argue, the proceeds should be paid out in full to households. but in the few places where this has been tried, has it won popular support? a recent study of the free money schemes in canada and switzerland is not wildly encouraging, robinson meyer at the atlantic wrote.",favorable
84,missed opportunities in climate change,"however, most of the executives said they wanted more action by governments to encourage companies to cut their carbon emissions â€“ particularly in europe, where three-quarters said tax incentives would lead to a significant reduction.",unfavorable
527,adb to double climate change funding,"of the $6bn the adb expects to spend on tackling climate change by 2020, $4bn will go on mitigation â€” â€œscaling up support for renewable energy, energy efficiency, sustainable transport and building smart citiesâ€. the remaining $2bn would go on projects that seek to adapt to climate change in such areas as disaster planning and higher construction standards, the bank said.",favorable
252,philips and bayer lead carbon reduction drive,"amazon and privately held facebook are among the companies that do not disclose carbon emissions or energy use data, verdantix said. while some groups collect such figures internally, many publicly promote other environmental aims, such as googleâ€™s plan to become carbon neutral. (google last week took the unusual step of revealing how much electricity its huge server farms consume and revealed its carbon footprint for the first time.)",unfavorable
327,barack obamaâ€™s state of the union address,"the good news is, we can make meaningful progress on this issue while driving strong economic growth. i urge this congress to pursue a bipartisan, market-based solution to climate change, like the one john mccain and joe lieberman worked on together a few years ago. but if congress wonâ€™t act soon to protect future generations, i will. i will direct my cabinet to come up with executive actions we can take, now and in the future, to reduce pollution, prepare our communities for the consequences of climate change, and speed the transition to more sustainable sources of energy.",favorable
102,john hirst calls for more investment,"the met officeâ€™s hadley centre in exeter, devon, where climate change research is carried out, is widely regarded as one of the worldâ€™s top three climate research centres. this reputation helped to give the uk government more clout in international negotiations on climate change, mr hirst said. but while the hadley centre super-computer used to be one of the most powerful in the world, it had now slipped down the global pecking order because more investment was needed in new technologies and processing power.",favorable
23,how to make a difference on climate change ,"finally, the g8 rightly placed great emphasis on sharing â€œcleanâ€ technology, which lowers carbon emissions, with developing countries. this is enormously important and private enterprise has an important key role to play in this process. we should be looking at how to transfer some of our knowhow to poorer nations, which cannot afford the same level of investment in intellectual property. that developed countries make. without this technology transfer, poorer nations will be doomed to satisfy their increasing energy needs by using the old, dirty technologies now superseded in the developed world. and if they do, that this will have a detrimental effect on the entire planet. ",favorable
557,economistsâ€™ climate failure must be reversed,"the good news is that we can build on the positive actions being taken. india and indonesia have started removing diesel subsidies, while china and india are expanding solar and wind energy. the us administration decided to reduce carbon emissions from power plants by 32 per cent below 2005 levels by 2030.",favorable
350,united kingdom: boilers on the backburner as consumers rein in waste,"the department of energy and climate change estimates that over the past four decades, technologies such as condensing and loft insulation have radically improved the thermal efficiency of buildings and cut demand for heating fuels by nearly half.",favorable
519,iran faces hurdles in supplying gas to europe,"european gas demand has been in decline since 2008, reflecting industrial sector stagnation and the growth of renewable power generation. the only source of long-term upside to european gas demand is the power sector and the impact of carbon emissions policies. while this could eventually increase the volumes of gas used in europe, emissions prices would have to significantly increase to encourage utilities to switch from burning coal to gas in meaningful volumes.",favorable
347,"â€˜collectively, humanity has yawned and decided to let the dangers mountâ€™",related links: climate change costs: too much is not enough - ft energy source energy sector seen as threat to stability â€“ ft,unfavorable
481,"greek talks collapse, wishful drinking and the internetâ€™s robber barons","royal dutch shell its chief executive ben van beurden is expected to push for more industry involvement in the global warming debate in a speech for international petroleum week. he will argue that the worldâ€™s energy needs will underpin the use of fossil fuels for decades to come. thus the focus should be on lowering, rather than eliminating, carbon emissions. (ft)",unfavorable
120,guest column: consensus on climate change goals,"developing countries should commit to binding cuts in the future â€“ say, after 2020. they should be allowed to grow without hindrance in the interim, although also take steps to place their economies on a low-carbon trajectory. the obvious places to start are where cutting carbon emissions align with other goals. energy efficiency is the best example. ",favorable
694,"jay hambro, the â€˜ultimate salesmanâ€™ behind sanjeev guptaâ€™s gfg","hambroâ€™s idea was to build renewable energy supply for the companyâ€™s steel plants and other industrial assets, reducing power costs but also helping to decarbonise operations. longer-term, he hoped to create a portfolio of mining assets for the company. ",favorable
294,london headlines,"freak weather linked to global warming after the us baked in a searing heatwave and as russia mourns the deaths of more than 100 flood victims, scientists have produced what they say is groundbreaking research linking climate change to recent extreme weather, the ft reports. http://www.ft.com/intl/cms/s/0/41da67cc-cab1-11e1-89be-00144feabdc0.html",unfavorable
68,zero-carbon homes still a rarity,builders and designers said they had already brought down the carbon emissions from new homes substantially. new homes today are about 40 per cent more energy efficient than they were five years ago. ,favorable
132,cutting it energy costs for small business,"these costs are powerful incentives to use business technology in ways that conserve fossil fuels. more efficient use of hardware can take pressure off the bottom line while reducing carbon emissions, which is also good for the environment. at the same time, a company avoids outgrowing its existing it infrastructure, which can be costly to expand. ",favorable
52,bush climate change policy â€˜unhelpfulâ€™,he added that so far neither the british government nor the international community had generated sufficient momentum in the push to take action on climate change.,unfavorable
134,business fights for tougher emissions rules,"the group also wants an end to the building of new coal-fired power plants that do not capture and store carbon emissions, and aggressive targets for both emissions reduction and the development of renewable energy sources.",favorable
295,doubts raised over chinaâ€™s stimulus plans,"the central government also chimed in, announcing a plan on tuesday involving rmb2.4tn of investment in energy conservation and carbon emissions reduction by 2015.",favorable
360,investors should strike while the planet is not too hot,"â€œthe market has to offer alternatives that are pretty much substitutable,â€ says james cameron, chairman of climate change capital, a london-based investment manager. bodies such as the climate bonds initiative are working on this, but progress is slow.",unfavorable
374,oecd to add climate scorecard to its country surveys,it is also a mistake to think that technology that captures and stores carbon emissions from coal plants is a â€œget out of jail free cardâ€ that would allow future fossil fuel use.,unfavorable
15,lex: german utilities," but closer examination leaves rwe's relative performance looking a little less sparky. earnings growth was largely down to a one-off 5 percentage point year-on-year drop in its effective tax rate. at the operating level, eon surprised with a 7 per cent jump in profits, with most divisions up. rwe's were flat, and also flattered by lower non-cash depreciation charges. however, greater leverage to german wholesale electricity should be a source of strength for rwe over the next few years, as carbon emission charges push prices higher. this expectation has underpinned the stock's impressive performance so far this year. but the domestic market is subject to uncertainty, particularly around germany's new energy regulator and nuclear plant closures. eon will also benefit to a degree from higher power prices. but the opportunities in its broader business mix look more compelling than those for rwe, particularly with regards to gas and eastern europe. investors fret that eon will splurge its â‚¬20bn of fire-power on acquisitions, and the stock has suffered accordingly. but, overall, eon's record is good contrast ruhrgas with rwe's forays into water. eon's current discount is unwarranted.",favorable
